iter	Passed	Remaining
537	10593	383232
538	10612	383184
539	10636	383294
540	10658	383384
541	10686	383651
542	10710	383776
543	10732	383835
544	10750	383755
545	10768	383677
546	10786	383593
547	10805	383568
548	10826	383590
549	10847	383591
550	10864	383505
551	10887	383572
552	10908	383609
553	10932	383729
554	10949	383626
555	10965	383481
556	10988	383581
557	11007	383521
558	11027	383509
559	11045	383449
560	11062	383325
561	11084	383378
562	11104	383370
563	11126	383425
564	11150	383557
565	11167	383439
566	11186	383389
567	11205	383367
568	11226	383378
569	11246	383378
570	11267	383399
571	11287	383374
572	11311	383490
573	11330	383460
574	11349	383412
575	11367	383320
576	11385	383249
577	11401	383121
578	11422	383120
579	11439	383015
580	11456	382912
581	11475	382863
582	11495	382874
583	11518	382949
584	11538	382924
585	11560	382990
586	11579	382936
587	11597	382888
588	11619	382940
589	11637	382867
590	11658	382865
591	11676	382808
592	11697	382816
593	11717	382797
594	11739	382867
595	11760	382900
596	11779	382836
597	11802	382942
598	11822	382916
599	11838	382776
600	11857	382740
601	11874	382618
602	11893	382578
603	11911	382523
604	11937	382700
605	11955	382620
606	11973	382541
607	11990	382431
608	12008	382348
609	12026	382295
610	12047	382310
611	12066	382270
612	12085	382219
613	12103	382162
614	12123	382133
615	12147	382264
616	12170	382339
617	12189	382299
618	12208	382239
619	12227	382212
620	12246	382150
621	12267	382173
622	12286	382154
623	12307	382148
624	12331	382261
625	12351	382271
626	12373	382300
627	12390	382219
628	12409	382167
629	12426	382058
630	12447	382080
631	12465	382008
632	12484	381979
633	12505	381985
634	12522	381883
635	12543	381906
636	12562	381857
637	12590	382091
638	12611	382110
639	12629	382048
640	12648	382008
641	12667	381963
642	12688	381981
643	12708	381951
644	12725	381852
645	12745	381859
646	12763	381768
647	12782	381747
648	12803	381763
649	12822	381716
650	12840	381650
651	12858	381566
652	12876	381507
653	12895	381466
654	12915	381465
655	12931	381320
656	12951	381312
657	12974	381384
658	12997	381468
659	13021	381578
660	13041	381570
661	13060	381514
662	13077	381425
663	13096	381376
664	13114	381307
665	13134	381285
666	13154	381297
667	13178	381387
668	13195	381298
669	13216	381306
670	13236	381290
671	13258	381326
672	13274	381213
673	13295	381220
674	13314	381188
675	13332	381111
676	13352	381122
677	13370	381053
678	13390	381029
679	13412	381065
680	13433	381090
681	13456	381172
682	13475	381108
683	13492	381027
684	13509	380927
685	13529	380918
686	13547	380856
687	13565	380783
688	13585	380757
689	13601	380655
690	13627	380791
691	13650	380882
692	13669	380818
693	13687	380764
694	13703	380650
695	13723	380635
696	13740	380540
697	13761	380537
698	13778	380451
699	13798	380456
700	13821	380518
701	13840	380466
702	13860	380467
703	13877	380371
704	13897	380364
705	13916	380306
706	13937	380321
707	13956	380302
708	13975	380262
709	13996	380283
710	14018	380311
711	14041	380371
712	14062	380397
713	14086	380499
714	14106	380477
715	14126	380472
716	14144	380390
717	14164	380389
718	14186	380431
719	14205	380399
720	14226	380405
721	14246	380403
722	14270	380495
723	14290	380465
724	14308	380404
725	14325	380323
726	14347	380344
727	14365	380288
728	14384	380256
729	14403	380212
730	14423	380194
731	14443	380196
732	14461	380127
733	14486	380246
734	14506	380218
735	14524	380160
736	14545	380189
737	14565	380173
738	14585	380146
739	14604	380105
740	14622	380046
741	14643	380053
742	14664	380080
743	14686	380099
744	14702	380004
745	14721	379951
746	14741	379946
747	14759	379879
748	14777	379823
749	14795	379738
750	14814	379704
751	14834	379696
752	14851	379608
753	14874	379679
754	14896	379700
755	14913	379633
756	14937	379713
757	14956	379684
758	14974	379602
759	14994	379585
760	15013	379571
761	15033	379558
762	15056	379600
763	15076	379596
764	15099	379668
765	15120	379664
766	15137	379592
767	15155	379524
768	15221	380644
769	15258	381060
770	15278	381059
771	15306	381235
772	15326	381230
773	15350	381315
774	15368	381234
775	15385	381157
776	15405	381128
777	15424	381102
778	15445	381104
779	15462	381019
780	15480	380954
781	15501	380958
782	15522	380961
783	15547	381078
784	15568	381077
785	15588	381063
786	15606	381000
787	15627	380997
788	15646	380960
789	15665	380932
790	15685	380920
791	15703	380858
792	15727	380920
793	15750	380991
794	15768	380914
795	15792	381003
796	15811	380974
797	15829	380894
798	15850	380913
799	15867	380816
800	15886	380787
801	15909	380832
802	15929	380826
803	15950	380835
804	15971	380835
805	15990	380805
806	16008	380739
807	16027	380685
808	16043	380571
809	16061	380522
810	16080	380484
811	16099	380450
812	16119	380418
813	16140	380442
814	16162	380474
815	16181	380429
816	16200	380391
817	16220	380370
818	16240	380349
819	16260	380344
820	16280	380326
821	16298	380259
822	16314	380159
823	16334	380142
824	16355	380144
825	16375	380127
826	16394	380092
827	16411	380003
828	16430	379965
829	16447	379878
830	16467	379859
831	16485	379807
832	16503	379741
833	16520	379656
834	16538	379603
835	16560	379617
836	16581	379640
837	16605	379713
838	16624	379668
839	16642	379616
840	16665	379650
841	16683	379598
842	16703	379578
843	16720	379488
844	16742	379519
845	16763	379527
846	16784	379533
847	16803	379510
848	16824	379516
849	16847	379553
850	16864	379483
851	16883	379447
852	16903	379431
853	16926	379471
854	16946	379452
855	16965	379422
856	16983	379364
857	17002	379328
858	17022	379308
859	17039	379219
860	17057	379167
861	17079	379193
862	17099	379189
863	17119	379168
864	17141	379197
865	17164	379243
866	17187	379302
867	17207	379289
868	17226	379244
869	17245	379209
870	17263	379150
871	17281	379089
872	17305	379147
873	17324	379122
874	17343	379082
875	17367	379151
876	17386	379104
877	17407	379123
878	17426	379077
879	17442	378978
880	17464	379003
881	17480	378911
882	17500	378883
883	17520	378868
884	17542	378897
885	17565	378951
886	17581	378840
887	17600	378804
888	17619	378766
889	17636	378678
890	17655	378657
891	17673	378603
892	17692	378550
893	17715	378604
894	17735	378579
895	17755	378568
896	17777	378594
897	17797	378583
898	17819	378600
899	17839	378587
900	17857	378542
901	17877	378512
902	17896	378483
903	17917	378487
904	17938	378502
905	17960	378527
906	17981	378513
907	18001	378497
908	18020	378474
909	18038	378414
910	18055	378336
911	18073	378273
912	18089	378167
913	18109	378168
914	18128	378124
915	18148	378097
916	18173	378188
917	18192	378161
918	18212	378141
919	18230	378079
920	18250	378076
921	18273	378119
922	18292	378079
923	18310	378027
924	18329	377977
925	18349	377959
926	18369	377959
927	18390	377951
928	18411	377950
929	18433	377992
930	18452	377951
931	18471	377922
932	18490	377874
933	18510	377858
934	18528	377801
935	18547	377757
936	18564	377689
937	18584	377675
938	18605	377687
939	18627	377705
940	18647	377693
941	18665	377629
942	18683	377576
943	18701	377511
944	18720	377473
945	18738	377422
946	18760	377458
947	18781	377446
948	18803	377468
949	18826	377520
950	18845	377487
951	18864	377446
952	18882	377399
953	18899	377312
954	18918	377281
955	18938	377257
956	18954	377173
957	18975	377177
958	18997	377188
959	19018	377196
960	19038	377178
961	19055	377114
962	19077	377138
963	19095	377070
964	19112	376998
965	19131	376963
966	19150	376932
967	19169	376897
968	19191	376912
969	19208	376837
970	19229	376853
971	19253	376911
972	19271	376853
973	19291	376839
974	19310	376801
975	19330	376792
976	19348	376740
977	19365	376655
978	19385	376645
979	19408	376687
980	19427	376645
981	19453	376748
982	19473	376741
983	19494	376729
984	19512	376671
985	19531	376640
986	19548	376580
987	19570	376592
988	19588	376544
989	19607	376508
990	19629	376516
991	19652	376574
992	19673	376562
993	19692	376531
994	19709	376454
995	19730	376467
996	19751	376462
997	19767	376377
998	19786	376330
999	19803	376271
1000	19821	376220
1001	19840	376170
1002	19861	376179
1003	19884	376226
1004	19907	376256
1005	19926	376227
1006	19945	376185
1007	19962	376126
1008	19982	376094
1009	20000	376053
1010	20017	375981
1011	20037	375965
1012	20059	375977
1013	20078	375944
1014	20101	375992
1015	20120	375949
1016	20141	375962
1017	20161	375940
1018	20181	375924
1019	20199	375877
1020	20218	375831
1021	20239	375834
1022	20259	375813
1023	20281	375834
1024	20304	375887
1025	20322	375818
1026	20340	375770
1027	20356	375681
1028	20375	375649
1029	20396	375648
1030	20415	375616
1031	20433	375573
1032	20452	375536
1033	20472	375505
1034	20492	375496
1035	20514	375512
1036	20532	375466
1037	20553	375458
1038	20572	375428
1039	20590	375377
1040	20608	375331
1041	20624	375247
1042	20646	375250
1043	20664	375206
1044	20685	375209
1045	20710	375281
1046	20729	375252
1047	20752	375283
1048	20773	375284
1049	20790	375212
1050	20810	375198
1051	20829	375163
1052	20848	375138
1053	20866	375081
1054	20884	375026
1055	20902	374977
1056	20925	375009
1057	20946	375008
1058	20966	375001
1059	20986	374983
1060	21002	374894
1061	21023	374904
1062	21041	374839
1063	21059	374803
1064	21079	374772
1065	21098	374744
1066	21117	374707
1067	21138	374710
1068	21155	374649
1069	21174	374604
1070	21192	374562
1071	21210	374513
1072	21229	374477
1073	21248	374432
1074	21265	374368
1075	21284	374337
1076	21301	374271
1077	21327	374360
1078	21346	374323
1079	21365	374293
1080	21390	374372
1081	21407	374292
1082	21428	374293
1083	21448	374279
1084	21467	374245
1085	21488	374254
1086	21507	374214
1087	21529	374232
1088	21551	374248
1089	21572	374246
1090	21590	374207
1091	21607	374138
1092	21626	374109
1093	21647	374099
1094	21669	374116
1095	21687	374076
1096	21706	374038
1097	21725	374009
1098	21745	373980
1099	21764	373950
1100	21783	373922
1101	21801	373863
1102	21818	373802
1103	21837	373770
1104	21855	373717
1105	21871	373630
1106	21891	373612
1107	21911	373603
1108	21931	373586
1109	21954	373622
1110	21977	373662
1111	21997	373647
1112	22014	373572
1113	22034	373550
1114	22052	373506
1115	22071	373468
1116	22090	373436
1117	22110	373421
1118	22129	373395
1119	22149	373379
1120	22169	373353
1121	22189	373338
1122	22205	373265
1123	22225	373242
1124	22243	373204
1125	22262	373170
1126	22279	373102
